crop_code,year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
120006,2003,0,0,0,29195,21.26,278.7,246.04,480.12,837365,0,0
120006,2004,0,0,0,27853,22.1,249.96,205.78,533.8,908439,0,0
120006,2005,0,0,0,28920,22.4,154.28,221.82,532.5,957447,0,0
120006,2006,0,0,0,35847,21.58,226.26,197.82,511.7,1005601,0,0
120006,2007,0,0,0,39363,22,241.08,170.86,516.5,1089660,0,0
120006,2008,6003976,1975486,0,40249,22.04,143.4,182.68,542.2,1154217,0,0
120006,2009,6590863,2268722,0,40023,21.92,185.74,197.94,611.9,1205348,0,0
120006,2010,5667392,1995192,0,42553,22.74,218.84,186.82,596.9,1322611,0,0
120006,2011,5336402,1897770,0,41047,22.38,218.72,173.28,599,1388937,0,0
120006,2012,5095465,195918,0,40400,22.74,234.88,212.52,569,1440111,0,0
120006,2013,6156079,1886363,0,39947,23.18,165.9,236.04,592.7,1500819,0,0
120006,2014,5490930,1831779,0,39813,21.94,210.92,200.22,604,1562929,0,0
120006,2015,5521229,1931507,0,39733,21.9,133.56,231.32,582.2,1658020,0,0
120006,2016,5378269,2070723,0,36733,22.98,149.7,230.98,593.3,1740779,0,0
120006,2017,5414184,2171190,0,36000,22.82,120.78,235.52,592.7,1835698,0,0
120006,2018,7109419,2188218,0,34733,23.12,170.66,234.38,590,1898193,0,0
120006,2019,7171229,2525492,0,36000,22.34,199.88,223.2,576.3,1924498,0,0
120006,2020,8917039,2933836,0,34320,22.12,266.5,190.78,528.5,1940726,0,0
120006,2021,10472660,3147760,0,35225,22.92,206.04,218.18,583.9,2071658,0,0
